,creation_time,clozed_text,question,answer,title,url,paragraph
0,Wed Jun 16 02:53:20 2021,How many A-B's are there?<br>{{c1::1 A–B}},How many A-B's are there?,1 A–B,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,1 A–B
1,Wed Jun 16 02:53:25 2021,What is the difference between C-D and C-D?<br>{{c1::2}},What is the difference between C-D and C-D?,2,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,2 C–D
2,Wed Jun 16 02:53:29 2021,How many E-Gs are there?<br>{{c1::3 E–G}},How many E-Gs are there?,3 E–G,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,3 E–G
3,Wed Jun 16 02:53:33 2021,What is the ratio of H–K?<br>{{c1::4}},What is the ratio of H–K?,4,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,4 H–K
4,Wed Jun 16 02:53:37 2021,What is the average amount of water in a bottle?<br>{{c1::5 L–M}},What is the average amount of water in a bottle?,5 L–M,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,5 L–M
5,Wed Jun 16 02:53:41 2021,What is the ratio of N-Q to N-Q?<br>{{c1::6 N–Q}},What is the ratio of N-Q to N-Q?,6 N–Q,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,6 N–Q
6,Wed Jun 16 02:53:44 2021,What is the ratio of R-S?<br>{{c1::7}},What is the ratio of R-S?,7,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,7 R–S
7,Wed Jun 16 02:53:48 2021,How many T-Zs are there?<br>{{c1::8 T–Z}},How many T-Zs are there?,8 T–Z,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,8 T–Z
8,Wed Jun 16 02:53:52 2021,What is the total number of digits in the number of digits?<br>{{c1::9}},What is the total number of digits in the number of digits?,9,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,9 See also
9,Wed Jun 16 02:53:56 2021,How many references are there?<br>{{c1::10}},How many references are there?,10,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,10 References
10,Wed Jun 16 02:54:03 2021,What tends to corrupt?<br>{{c1::power}},What tends to corrupt?,power,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Acton's dictum: ""Power tends to corrupt\, and absolute power corrupts absolutely. Great men are almost always bad men [...]"""
11,Wed Jun 16 02:54:03 2021,Who are almost always bad men?<br>{{c1::Great men}},Who are almost always bad men?,Great men,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Acton's dictum: ""Power tends to corrupt\, and absolute power corrupts absolutely. Great men are almost always bad men [...]"""
12,Wed Jun 16 02:54:12 2021,Aitken's law describes how vowel length in Scots and what other language is conditioned by environment?<br>{{c1::Scottish English}},Aitken's law describes how vowel length in Scots and what other language is conditioned by environment?,Scottish English,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Aitken's law describes how vowel length in Scots and Scottish English is conditioned by environment. Named for Professor A. J. Aitken\, who formulated it."
13,Wed Jun 16 02:54:12 2021,Who wrote Aitken's law?<br>{{c1::Professor A. J. Aitken}},Who wrote Aitken's law?,Professor A. J. Aitken,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Aitken's law describes how vowel length in Scots and Scottish English is conditioned by environment. Named for Professor A. J. Aitken\, who formulated it."
14,Wed Jun 16 02:54:15 2021,Whose razor is Newton's?<br>{{c1::Alder}},Whose razor is Newton's?,Alder,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Alder's razor: See Newton's flaming laser sword below.
15,Wed Jun 16 02:54:20 2021,What does Allen's rule say about endotherms from colder climates?<br>{{c1::shorter limbs}},What does Allen's rule say about endotherms from colder climates?,shorter limbs,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Allen's rule: Endotherms from colder climates usually have shorter limbs (or appendages) than the equivalent animals from warmer climates.
16,Wed Jun 16 02:54:26 2021,What does Amagat's law describe?<br>{{c1::the behaviour and properties of mixtures of ideal gases}},What does Amagat's law describe?,the behaviour and properties of mixtures of ideal gases,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Amagat's law describes the behaviour and properties of mixtures of ideal gases. Named for Émile Amagat.
17,Wed Jun 16 02:54:26 2021,Who is Amagat's law named after?<br>{{c1::Émile Amagat}},Who is Amagat's law named after?,Émile Amagat,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Amagat's law describes the behaviour and properties of mixtures of ideal gases. Named for Émile Amagat.
18,Wed Jun 16 02:54:33 2021,What is Roy Amara's law?<br>{{c1::overestimate the effect of a technology in the short run and underestimate the effect in the long run}},What is Roy Amara's law?,overestimate the effect of a technology in the short run and underestimate the effect in the long run,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Amara's law: ""We tend to overestimate the effect of a technology in the short run and underestimate the effect in the long run."" Named after Roy Amara (1925–2007)."
19,Wed Jun 16 02:54:33 2021,Who was Amara's law named after?<br>{{c1::Roy Amara}},Who was Amara's law named after?,Roy Amara,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Amara's law: ""We tend to overestimate the effect of a technology in the short run and underestimate the effect in the long run."" Named after Roy Amara (1925–2007)."
20,Wed Jun 16 02:54:42 2021,What is used to find out the maximum expected improvement to an overall system when only a part of it is improved?<br>{{c1::Amdahl's law}},What is used to find out the maximum expected improvement to an overall system when only a part of it is improved?,Amdahl's law,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Amdahl's law is used to find out the maximum expected improvement to an overall system when only a part of it is improved. Named after Gene Amdahl (1922–2015).
21,Wed Jun 16 02:54:42 2021,Who is Amdahl's law named after?<br>{{c1::Gene Amdahl}},Who is Amdahl's law named after?,Gene Amdahl,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Amdahl's law is used to find out the maximum expected improvement to an overall system when only a part of it is improved. Named after Gene Amdahl (1922–2015).
22,Wed Jun 16 02:54:52 2021,What is the name of the law that relates the circulating magnetic field in a closed loop to the electric current through the loop?<br>{{c1::circuital law}},What is the name of the law that relates the circulating magnetic field in a closed loop to the electric current through the loop?,circuital law,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Ampère's circuital law\, in physics\, relates the circulating magnetic field in a closed loop to the electric current through the loop. Discovered by André-Marie Ampère."
23,Wed Jun 16 02:54:52 2021,Who discovered Ampère's circuital law?<br>{{c1::André-Marie Ampère}},Who discovered Ampère's circuital law?,André-Marie Ampère,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Ampère's circuital law\, in physics\, relates the circulating magnetic field in a closed loop to the electric current through the loop. Discovered by André-Marie Ampère."
24,Wed Jun 16 02:55:00 2021,What is Anderson's rule used for?<br>{{c1::energy band diagrams}},What is Anderson's rule used for?,energy band diagrams,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Anderson's rule is used for the construction of energy band diagrams of the heterojunction between two semiconductor materials. Named for R. L. Anderson.
25,Wed Jun 16 02:55:00 2021,Who is Anderson's rule named for?<br>{{c1::R. L. Anderson}},Who is Anderson's rule named for?,R. L. Anderson,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,Anderson's rule is used for the construction of energy band diagrams of the heterojunction between two semiconductor materials. Named for R. L. Anderson.
26,Wed Jun 16 02:55:04 2021,What company was Bill Gates CEO of?<br>{{c1::Microsoft}},What company was Bill Gates CEO of?,Microsoft,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Andy and Bill's law describes how\, when a computer chip is released\, new software will be released to use up all of its power. Named for Andy Grove\, then CEO of Intel\, and Bill Gates\, then CEO of Microsoft."
27,Wed Jun 16 02:55:10 2021,In what discipline is Archie's law found?<br>{{c1::petrophysics}},In what discipline is Archie's law found?,petrophysics,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Archie's law\, in petrophysics\, relates the in-situ electrical conductivity of sedimentary rock to its porosity and brine saturation. Named for Gus Archie (1907–1978)."
28,Wed Jun 16 02:55:10 2021,Who was Archie's law named for?<br>{{c1::Gus Archie}},Who was Archie's law named for?,Gus Archie,List of eponymous laws,https://en.wikipedia.org/wiki/List_of_eponymous_laws,"Archie's law\, in petrophysics\, relates the in-situ electrical conductivity of sedimentary rock to its porosity and brine saturation. Named for Gus Archie (1907–1978)."
