,answer,question,clozed_text,creation_time,title,source
0,357,When was Philip II officially king of Macedonia?,When was Philip II officially king of Macedonia?<br>{{c1::357}},Wed Jul  7 16:02:42 2021,Philip II of Macedon,"Philip II became Macedonias leader in 359\, and was officially its king by 357. He used skilled military and diplomatic tactics to expand his countrys territory and influence\, and ended up dominating almost of all of his neighboring Greek city-states. He was assassinated in July 336\, at the approximate age of 46\, and was succeeded by his son\, Alexander the Great."
1,military and diplomatic tactics,What did Philip II use to expand his country's territory and influence?,What did Philip II use to expand his country's territory and influence?<br>{{c1::military and diplomatic tactics}},Wed Jul  7 16:02:42 2021,Philip II of Macedon,"Philip II became Macedonias leader in 359\, and was officially its king by 357. He used skilled military and diplomatic tactics to expand his countrys territory and influence\, and ended up dominating almost of all of his neighboring Greek city-states. He was assassinated in July 336\, at the approximate age of 46\, and was succeeded by his son\, Alexander the Great."
2,Alexander the Great,Who succeeded Philip II?,Who succeeded Philip II?<br>{{c1::Alexander the Great}},Wed Jul  7 16:02:42 2021,Philip II of Macedon,"Philip II became Macedonias leader in 359\, and was officially its king by 357. He used skilled military and diplomatic tactics to expand his countrys territory and influence\, and ended up dominating almost of all of his neighboring Greek city-states. He was assassinated in July 336\, at the approximate age of 46\, and was succeeded by his son\, Alexander the Great."
3,383 or 382 B.C,When was Philip II born?,When was Philip II born?<br>{{c1::383 or 382 B.C}},Wed Jul  7 16:02:48 2021,Philip II of Macedon,"The son of Macedonias King Amyntas III and his wife\, Eurydice\, Philip II was born in either 383 or 382 B.C. After his brother\, Alexander II\, took the throne\, Philip spent three years\, from 368 to 365\, as a hostage in Thebes. This time was well-spent\, as it was in Thebes that Philip learned about military strategy from the work of Epaminondas\, one of the greatest generals of the day."
4,Alexander II,Who was Philip II's brother?,Who was Philip II's brother?<br>{{c1::Alexander II}},Wed Jul  7 16:02:48 2021,Philip II of Macedon,"The son of Macedonias King Amyntas III and his wife\, Eurydice\, Philip II was born in either 383 or 382 B.C. After his brother\, Alexander II\, took the throne\, Philip spent three years\, from 368 to 365\, as a hostage in Thebes. This time was well-spent\, as it was in Thebes that Philip learned about military strategy from the work of Epaminondas\, one of the greatest generals of the day."
5,Epaminondas,Who was one of the greatest generals of the day?,Who was one of the greatest generals of the day?<br>{{c1::Epaminondas}},Wed Jul  7 16:02:48 2021,Philip II of Macedon,"The son of Macedonias King Amyntas III and his wife\, Eurydice\, Philip II was born in either 383 or 382 B.C. After his brother\, Alexander II\, took the throne\, Philip spent three years\, from 368 to 365\, as a hostage in Thebes. This time was well-spent\, as it was in Thebes that Philip learned about military strategy from the work of Epaminondas\, one of the greatest generals of the day."
6,Perdiccas III,Who brought Philip back from Thebes?,Who brought Philip back from Thebes?<br>{{c1::Perdiccas III}},Wed Jul  7 16:02:53 2021,Philip II of Macedon,"After Alexander IIs assassination\, Philips brother\, Perdiccas III\, became king and brought Philip back from Thebes. When Perdiccas was killed in 359 while fighting the Illyrians\, Philip was selected to serve as the guardian for Perdiccass young son\, Amyntas IV."
7,Amyntas IV,Who was Perdiccas young son?,Who was Perdiccas young son?<br>{{c1::Amyntas IV}},Wed Jul  7 16:02:53 2021,Philip II of Macedon,"After Alexander IIs assassination\, Philips brother\, Perdiccas III\, became king and brought Philip back from Thebes. When Perdiccas was killed in 359 while fighting the Illyrians\, Philip was selected to serve as the guardian for Perdiccass young son\, Amyntas IV."
8,Philip,Who used his military ingenuity to remake the Macedonian army?,Who used his military ingenuity to remake the Macedonian army?<br>{{c1::Philip}},Wed Jul  7 16:03:04 2021,Philip II of Macedon,"From his new position of power\, Philip began to use his military ingenuity in order to remake the Macedonian army. Members of the army were soon equipped with a sarissa\, a pike that\, at about 16 feet long\, had a greater reach than Greek weapons. This innovation meant that Philips armys phalanxes could make the first strike\, which transformed them into a deadly force. In 358\, his new army successfully invaded first Paeonia and then Illyria\, regaining territory that Macedonia had ceded."
9,16 feet,How long was the sarissa?,How long was the sarissa?<br>{{c1::16 feet}},Wed Jul  7 16:03:04 2021,Philip II of Macedon,"From his new position of power\, Philip began to use his military ingenuity in order to remake the Macedonian army. Members of the army were soon equipped with a sarissa\, a pike that\, at about 16 feet long\, had a greater reach than Greek weapons. This innovation meant that Philips armys phalanxes could make the first strike\, which transformed them into a deadly force. In 358\, his new army successfully invaded first Paeonia and then Illyria\, regaining territory that Macedonia had ceded."
